0 ( 0.786821 , 0.25048 )
208 ( 0.740887 , 0.0504178 )
209 ( 0.428222 , 0.424487 )
210 ( 0.297382 , 0.924365 )
211 ( 0.394662 , 0.57688 )
212 ( 0.685165 , 0.66794 )
213 ( 0.547968 , 0.880587 )
214 ( 0.463175 , 0.611199 )
215 ( 0.587855 , 0.800913 )
216 ( 0.0303706 , 0.316831 )
217 ( 0.66517 , 0.464039 )
218 ( 0.661278 , 0.549357 )
219 ( 0.503932 , 0.588149 )
220 ( 0.976944 , 0.550525 )
221 ( 0.570519 , 0.903292 )
222 ( 0.052365 , 0.481792 )
223 ( 0.851882 , 0.0909839 )
224 ( 0.599137 , 0.788752 )
225 ( 0.111787 , 0.496585 )
226 ( 0.0221698 , 0.870505 )
227 ( 0.193483 , 0.505807 )
228 ( 0.0637689 , 0.608395 )
229 ( 0.504267 , 0.578479 )
230 ( 0.222165 , 0.466376 )
231 ( 0.276202 , 0.974275 )
232 ( 0.924414 , 0.0857647 )
233 ( 0.651191 , 0.87611 )
234 ( 0.13779 , 0.246939 )
235 ( 0.457222 , 0.618934 )
236 ( 0.263458 , 0.214676 )
237 ( 0.0450919 , 0.831223 )
238 ( 0.877945 , 0.628726 )
239 ( 0.304855 , 0.624383 )
240 ( 0.224083 , 0.318291 )
241 ( 0.0915762 , 0.685024 )
242 ( 0.804414 , 0.0282853 )
243 ( 0.156149 , 0.4538 )
244 ( 0.806745 , 0.0718277 )
245 ( 0.818365 , 0.239676 )
246 ( 0.780919 , 0.201672 )
247 ( 0.0221841 , 0.520758 )
248 ( 0.500025 , 0.0103248 )
249 ( 0.662279 , 0.132566 )
250 ( 0.251147 , 0.71475 )
251 ( 0.313727 , 0.558087 )
252 ( 0.227199 , 0.232667 )
253 ( 0.887737 , 0.467508 )
254 ( 0.829917 , 0.509431 )
255 ( 0.365758 , 0.74988 )
256 ( 0.380525 , 0.542421 )
257 ( 0.224702 , 0.235979 )
258 ( 0.486476 , 0.0237956 )
259 ( 0.118464 , 0.458976 )
260 ( 0.656539 , 0.64082 )
261 ( 0.589712 , 0.637551 )
262 ( 0.226868 , 0.993688 )
263 ( 0.0600218 , 0.00430347 )
264 ( 0.496747 , 0.180076 )
265 ( 0.200237 , 0.329565 )
266 ( 0.618056 , 0.198204 )
267 ( 0.0940731 , 0.219158 )
268 ( 0.689118 , 0.515012 )
269 ( 0.829321 , 0.531601 )
270 ( 0.576843 , 0.946657 )
271 ( 0.239331 , 0.805169 )
272 ( 0.82826 , 0.348768 )
273 ( 0.180081 , 0.617491 )
274 ( 0.625022 , 0.559929 )
275 ( 0.890589 , 0.971805 )
276 ( 0.0382358 , 0.439389 )
277 ( 0.83667 , 0.201379 )
278 ( 0.293695 , 0.425389 )
279 ( 0.435041 , 0.121113 )
280 ( 0.869584 , 0.544856 )
281 ( 0.79858 , 0.505264 )
282 ( 0.812773 , 0.226578 )
283 ( 0.485052 , 0.797712 )
284 ( 0.14189 , 0.26119 )
285 ( 0.195309 , 0.79577 )
286 ( 0.398691 , 0.0245672 )
287 ( 0.85549 , 0.650536 )
288 ( 0.812641 , 0.754257 )
289 ( 0.772611 , 0.0830819 )
290 ( 0.557455 , 0.939198 )
291 ( 0.858129 , 0.413172 )
292 ( 0.579084 , 0.100147 )
293 ( 0.166222 , 0.793292 )
294 ( 0.830731 , 0.792946 )
295 ( 0.777096 , 0.668374 )
296 ( 0.782017 , 0.269266 )
297 ( 0.614568 , 0.503781 )
298 ( 0.986548 , 0.175454 )
299 ( 0.198392 , 0.281124 )
300 ( 0.0987145 , 0.276656 )
301 ( 0.876922 , 0.85107 )
302 ( 0.375626 , 0.418755 )
303 ( 0.82545 , 0.564425 )
304 ( 0.148727 , 0.42923 )
305 ( 0.498453 , 0.442933 )
306 ( 0.153426 , 0.398656 )
307 ( 0.955961 , 0.461605 )
308 ( 0.315445 , 0.462783 )
309 ( 0.158304 , 0.228017 )
310 ( 0.83865 , 0.456873 )
311 ( 0.313689 , 0.842813 )
312 ( 0.668395 , 0.301274 )
313 ( 0.963796 , 0.949445 )
314 ( 0.964296 , 0.929713 )
315 ( 0.00523035 , 0.292288 )
316 ( 0.721641 , 0.0115287 )
317 ( 0.922741 , 0.614552 )
318 ( 0.49556 , 0.849068 )
319 ( 0.426122 , 0.753475 )
320 ( 0.725405 , 0.807112 )
321 ( 0.482061 , 0.81877 )
322 ( 0.296046 , 0.0998681 )
323 ( 0.238789 , 0.757397 )
324 ( 0.939234 , 0.818204 )
325 ( 0.110429 , 0.881345 )
326 ( 0.574123 , 0.515558 )
327 ( 0.778193 , 0.96102 )
328 ( 0.31726 , 0.829222 )
329 ( 0.823076 , 0.903807 )
330 ( 0.757264 , 0.503499 )
331 ( 0.444595 , 0.373858 )
332 ( 0.96694 , 0.987285 )
333 ( 0.736685 , 0.59787 )
334 ( 0.367233 , 0.659913 )
335 ( 0.696496 , 0.462343 )
336 ( 0.0769521 , 0.799977 )
337 ( 0.31973 , 0.427997 )
338 ( 0.676035 , 0.086843 )
339 ( 0.818349 , 0.498686 )
340 ( 0.16328 , 0.661052 )
341 ( 0.19819 , 0.126635 )
342 ( 0.805169 , 0.0531367 )
343 ( 0.857263 , 0.0429127 )
344 ( 0.398371 , 0.827364 )
345 ( 0.829606 , 0.456753 )
346 ( 0.856602 , 0.762972 )
347 ( 0.610263 , 0.72657 )
348 ( 0.359206 , 0.795906 )
349 ( 0.241334 , 0.310326 )
350 ( 0.811645 , 0.622407 )
351 ( 0.935215 , 0.0996625 )
352 ( 0.065452 , 0.491876 )
353 ( 0.750185 , 0.272157 )
354 ( 0.0699211 , 0.871387 )
355 ( 0.154424 , 0.323832 )
356 ( 0.166497 , 0.698676 )
357 ( 0.278478 , 0.371656 )
358 ( 0.732351 , 0.168493 )
359 ( 0.626001 , 0.446057 )
360 ( 0.0301436 , 0.0700159 )
361 ( 0.663758 , 0.0151172 )
362 ( 0.857562 , 0.925277 )
363 ( 0.980462 , 0.017112 )
364 ( 0.16023 , 0.747241 )
365 ( 0.069936 , 0.899506 )
366 ( 0.913913 , 0.0486698 )
367 ( 0.734044 , 0.0587445 )
368 ( 0.075168 , 0.830635 )
369 ( 0.932468 , 0.0204567 )
370 ( 0.0489925 , 0.320763 )
371 ( 0.782106 , 0.396422 )
372 ( 0.878506 , 0.129988 )
373 ( 0.4213 , 0.250935 )
374 ( 0.586234 , 0.096566 )
375 ( 0.436277 , 0.776577 )
376 ( 0.0166563 , 0.980579 )
377 ( 0.338049 , 0.248066 )
378 ( 0.645227 , 0.621577 )
379 ( 0.0715725 , 0.387573 )
380 ( 0.931525 , 0.568896 )
381 ( 0.832211 , 0.367929 )
382 ( 0.252768 , 0.496346 )
383 ( 0.874716 , 0.992265 )
384 ( 0.510477 , 0.789609 )
385 ( 0.0849481 , 0.344483 )
386 ( 0.967671 , 0.577878 )
387 ( 0.949746 , 0.633073 )
388 ( 0.0953233 , 0.866855 )
389 ( 0.607965 , 0.651146 )
390 ( 0.56634 , 0.124984 )
391 ( 0.869768 , 0.662669 )
392 ( 0.893492 , 0.59432 )
393 ( 0.940496 , 0.689586 )
394 ( 0.882346 , 0.528521 )
395 ( 0.264466 , 0.194975 )
396 ( 0.0677825 , 0.369203 )
397 ( 0.195069 , 0.664288 )
398 ( 0.677981 , 0.30248 )
399 ( 0.52997 , 0.13327 )
400 ( 0.452568 , 0.386046 )
401 ( 0.66295 , 0.923583 )
402 ( 0.242903 , 0.11142 )
403 ( 0.108224 , 0.881989 )
404 ( 0.113165 , 0.857862 )
405 ( 0.139198 , 0.0386098 )
406 ( 0.4843 , 0.736449 )
407 ( 0.0470179 , 0.411109 )
408 ( 0.183098 , 0.917315 )
409 ( 0.875 , 0.661774 )
410 ( 0.0892393 , 0.0871171 )
411 ( 0.721181 , 0.682393 )
412 ( 0.758243 , 0.270645 )
413 ( 0.393752 , 0.281885 )
414 ( 0.491221 , 0.780639 )
415 ( 0.311426 , 0.557962 )
416 ( 0.0933125 , 0.901797 )
417 ( 0.631902 , 0.200916 )
418 ( 0.710648 , 0.855578 )
419 ( 0.897181 , 0.463618 )
420 ( 0.514068 , 0.524292 )
421 ( 0.590519 , 0.868409 )
422 ( 0.449748 , 0.972465 )
423 ( 0.339617 , 0.100356 )
424 ( 0.447349 , 0.0151045 )
425 ( 0.936987 , 0.103953 )
426 ( 0.227367 , 0.328141 )
427 ( 0.966538 , 0.92906 )
428 ( 0.688564 , 0.859319 )
429 ( 0.836418 , 0.0592269 )
430 ( 0.614714 , 0.321358 )
431 ( 0.856489 , 0.420638 )
432 ( 0.359514 , 0.0795336 )
433 ( 0.468066 , 0.0881119 )
434 ( 0.608119 , 0.467594 )
435 ( 0.93764 , 0.845989 )
436 ( 0.0900997 , 0.928457 )
437 ( 0.453015 , 0.104001 )
438 ( 0.128509 , 0.855836 )
439 ( 0.29623 , 0.619364 )
440 ( 0.3573 , 0.513898 )
441 ( 0.822518 , 0.420276 )
442 ( 0.998312 , 0.936939 )
443 ( 0.66978 , 0.0344313 )
444 ( 0.292531 , 0.192599 )
445 ( 0.768058 , 0.684523 )
446 ( 0.854314 , 0.0881964 )
447 ( 0.504723 , 0.33857 )
448 ( 0.380808 , 0.185804 )
449 ( 0.159051 , 0.116618 )
450 ( 0.62557 , 0.744052 )
451 ( 0.40652 , 0.557868 )
452 ( 0.35805 , 0.857129 )
453 ( 0.123159 , 0.194848 )
454 ( 0.929677 , 0.470506 )
455 ( 0.736109 , 0.384446 )
456 ( 0.205188 , 0.229644 )
457 ( 0.461236 , 0.395753 )
458 ( 0.671387 , 0.677233 )
459 ( 0.396541 , 0.451296 )
460 ( 0.282391 , 0.144114 )
461 ( 0.288337 , 0.898571 )
462 ( 0.545617 , 0.228349 )
463 ( 0.81209 , 0.908432 )
464 ( 0.125668 , 0.601216 )
465 ( 0.241475 , 0.873487 )
466 ( 0.340464 , 0.522225 )
467 ( 0.219186 , 0.304525 )
468 ( 0.318581 , 0.66582 )
469 ( 0.62556 , 0.380891 )
470 ( 0.178851 , 0.670812 )
471 ( 0.366398 , 0.856115 )
472 ( 0.949059 , 0.660923 )
473 ( 0.746307 , 0.335429 )
474 ( 0.0311836 , 0.213662 )
475 ( 0.678637 , 0.261225 )
476 ( 0.160372 , 0.20306 )
477 ( 0.531147 , 0.842607 )
478 ( 0.026376 , 0.574249 )
479 ( 0.345297 , 0.488311 )
480 ( 0.964161 , 0.80036 )
481 ( 0.977625 , 0.897562 )
482 ( 0.132121 , 0.55199 )
483 ( 0.00409965 , 0.33216 )
484 ( 0.607957 , 0.673116 )
485 ( 0.0839241 , 0.579516 )
486 ( 0.591511 , 0.926536 )
487 ( 0.712971 , 0.648809 )
488 ( 0.394729 , 0.915221 )
489 ( 0.894589 , 0.187267 )
490 ( 0.320536 , 0.288948 )
491 ( 0.458179 , 0.33693 )
492 ( 0.541202 , 0.0831488 )
493 ( 0.611127 , 0.0481479 )
494 ( 0.683051 , 0.565713 )
495 ( 0.267408 , 0.822183 )
496 ( 0.346773 , 0.770275 )
497 ( 0.356546 , 0.0649215 )
498 ( 0.95343 , 0.819984 )
499 ( 0.00312662 , 0.552573 )
500 ( 0.160807 , 0.668796 )
501 ( 0.116363 , 0.965521 )
502 ( 0.986854 , 0.921771 )
503 ( 0.715216 , 0.535523 )
504 ( 0.88656 , 0.656295 )
505 ( 0.802863 , 0.727943 )
506 ( 0.66369 , 0.773608 )
507 ( 0.48508 , 0.260232 )
508 ( 0.802097 , 0.118491 )
509 ( 0.744852 , 0.507013 )
510 ( 0.443691 , 0.433335 )
511 ( 0.679557 , 0.0578862 )
512 ( 0.580723 , 0.77784 )
513 ( 0.131596 , 0.153625 )
514 ( 0.615649 , 0.825892 )
515 ( 0.628842 , 0.702203 )
516 ( 0.870303 , 0.195144 )
517 ( 0.0832519 , 0.587193 )
518 ( 0.833205 , 0.279321 )
519 ( 0.163534 , 0.156848 )
520 ( 0.471721 , 0.268075 )
521 ( 0.609757 , 0.797521 )
522 ( 0.897723 , 0.0693669 )
523 ( 0.901199 , 0.598775 )
524 ( 0.105748 , 0.239892 )
525 ( 0.774306 , 0.211454 )
526 ( 0.631795 , 0.470142 )
527 ( 0.0833143 , 0.601839 )
528 ( 0.240511 , 0.60524 )
529 ( 0.0264872 , 0.136524 )
530 ( 0.453299 , 0.803959 )
531 ( 0.605313 , 0.405764 )
532 ( 0.79847 , 0.727337 )
533 ( 0.0927406 , 0.761318 )
534 ( 0.795504 , 0.0244311 )
535 ( 0.869953 , 0.276486 )
536 ( 0.555558 , 0.0456212 )
537 ( 0.968235 , 0.557241 )
538 ( 0.334979 , 0.686435 )
539 ( 0.0901753 , 0.879028 )
540 ( 0.601232 , 0.452498 )
541 ( 0.945711 , 0.76357 )
542 ( 0.957685 , 0.829338 )
543 ( 0.76066 , 0.113064 )
544 ( 0.0869628 , 0.594445 )
545 ( 0.563467 , 0.724373 )
546 ( 0.660954 , 0.143579 )
547 ( 0.568938 , 0.973871 )
548 ( 0.103339 , 0.631868 )
549 ( 0.906159 , 0.0819063 )
550 ( 0.150761 , 0.0240678 )
551 ( 0.0513714 , 0.220619 )
552 ( 0.370881 , 0.833263 )
553 ( 0.57847 , 0.88372 )
554 ( 0.108452 , 0.0110727 )
555 ( 0.698799 , 0.227251 )
556 ( 0.42404 , 0.2992 )
557 ( 0.314155 , 0.904074 )
558 ( 0.669897 , 0.415611 )
559 ( 0.242501 , 0.962053 )
560 ( 0.433595 , 0.514892 )
561 ( 0.633679 , 0.594329 )
562 ( 0.269989 , 0.704474 )
563 ( 0.729258 , 0.520957 )
564 ( 0.76735 , 0.991424 )
565 ( 0.983415 , 0.813813 )
566 ( 0.0231744 , 0.2924 )
567 ( 0.00518605 , 0.140521 )
568 ( 0.678498 , 0.574749 )
569 ( 0.937282 , 0.956411 )
570 ( 0.709729 , 0.146821 )
571 ( 0.691326 , 0.954482 )
572 ( 0.689156 , 0.554301 )
573 ( 0.157979 , 0.3724 )
574 ( 0.212703 , 0.950129 )
575 ( 0.73824 , 0.672695 )
576 ( 0.414136 , 0.59468 )
577 ( 0.356935 , 0.566097 )
578 ( 0.424727 , 0.206936 )
579 ( 0.51835 , 0.448423 )
580 ( 0.717038 , 0.793313 )
581 ( 0.773315 , 0.627759 )
582 ( 0.182172 , 0.379419 )
583 ( 0.525957 , 0.399154 )
584 ( 0.94016 , 0.769543 )
585 ( 0.0569788 , 0.922901 )
586 ( 0.861569 , 0.0676436 )
587 ( 0.946546 , 0.0623779 )
588 ( 0.757184 , 0.860799 )
589 ( 0.257504 , 0.758819 )
590 ( 0.989115 , 0.584929 )
591 ( 0.468399 , 0.322288 )
592 ( 0.89754 , 0.367767 )
593 ( 0.8702 , 0.305126 )
594 ( 0.338338 , 0.956 )
595 ( 0.96011 , 0.21236 )
596 ( 0.628899 , 0.304044 )
597 ( 0.262908 , 0.41435 )
598 ( 0.828771 , 0.0949637 )
599 ( 0.631289 , 0.791318 )
600 ( 0.265705 , 0.753624 )
601 ( 0.0923834 , 0.237141 )
602 ( 0.0638679 , 0.942508 )
603 ( 0.503178 , 0.418232 )
604 ( 0.63453 , 0.517401 )
605 ( 0.975721 , 0.788423 )
606 ( 0.777575 , 0.754088 )
607 ( 0.213779 , 0.439631 )
608 ( 0.000205405 , 0.364003 )
609 ( 0.895844 , 0.581706 )
610 ( 0.870792 , 0.770868 )
611 ( 0.220172 , 0.804474 )
612 ( 0.337141 , 0.75928 )
613 ( 0.455272 , 0.230508 )
614 ( 0.989019 , 0.978166 )
615 ( 0.461295 , 0.514321 )
616 ( 0.68293 , 0.0522041 )
617 ( 0.961454 , 0.54434 )
618 ( 0.737612 , 0.710232 )
619 ( 0.204782 , 0.382386 )
620 ( 0.744355 , 0.376194 )
621 ( 0.430579 , 0.963351 )
622 ( 0.091283 , 0.195618 )
623 ( 0.180865 , 0.393867 )
624 ( 0.284107 , 0.88855 )
625 ( 0.891537 , 0.072642 )
626 ( 0.300817 , 0.74552 )
627 ( 0.0251065 , 0.0721688 )
628 ( 0.342966 , 0.657109 )
629 ( 0.953888 , 0.526425 )
630 ( 0.322342 , 0.615012 )
631 ( 0.886727 , 0.592756 )
632 ( 0.938247 , 0.547454 )
633 ( 0.91043 , 0.144692 )
634 ( 0.0113078 , 0.582161 )
635 ( 0.499337 , 0.522687 )
636 ( 0.346238 , 0.096456 )
637 ( 0.0322677 , 0.171674 )
638 ( 0.357442 , 0.357157 )
639 ( 0.287429 , 0.888881 )
640 ( 0.429319 , 0.897848 )
641 ( 0.656562 , 0.243864 )
642 ( 0.541008 , 0.155444 )
643 ( 0.0260738 , 0.390225 )
644 ( 0.0338336 , 0.521671 )
645 ( 0.444131 , 0.74678 )
646 ( 0.18423 , 0.872058 )
647 ( 0.560275 , 0.371528 )
648 ( 0.162756 , 0.724935 )
649 ( 0.287536 , 0.590374 )
650 ( 0.257569 , 0.887679 )
651 ( 0.519911 , 0.598817 )
652 ( 0.160062 , 0.635866 )
653 ( 0.217218 , 0.959445 )
654 ( 0.895106 , 0.873434 )
655 ( 0.517925 , 0.756717 )
656 ( 0.235973 , 0.264675 )
657 ( 0.121033 , 0.510526 )
658 ( 0.198245 , 0.558615 )
659 ( 0.562804 , 0.575139 )
660 ( 0.899688 , 0.303545 )
661 ( 0.935628 , 0.7404 )
662 ( 0.8164 , 0.488857 )
663 ( 0.455119 , 0.847307 )
664 ( 0.282973 , 0.207212 )
665 ( 0.502972 , 0.0388466 )
666 ( 0.601007 , 0.475661 )
667 ( 0.102518 , 0.736809 )
668 ( 0.255997 , 0.151125 )
669 ( 0.0183677 , 0.446369 )
670 ( 0.848436 , 0.436939 )
671 ( 0.377934 , 0.301256 )
672 ( 0.0276068 , 0.0998687 )
673 ( 0.55544 , 0.520145 )
674 ( 0.602067 , 0.862851 )
675 ( 0.500876 , 0.421505 )
676 ( 0.914861 , 0.903734 )
677 ( 0.126801 , 0.0500551 )
678 ( 0.942437 , 0.0879791 )
679 ( 0.823463 , 0.709728 )
680 ( 0.367448 , 0.537818 )
681 ( 0.864425 , 0.833027 )
682 ( 0.392604 , 0.668453 )
683 ( 0.763088 , 0.56517 )
684 ( 0.0577734 , 0.410551 )
685 ( 0.650856 , 0.546113 )
686 ( 0.0609323 , 0.0550264 )
687 ( 0.620371 , 0.311352 )
688 ( 0.0728637 , 0.598692 )
689 ( 0.530076 , 0.159817 )
690 ( 0.506969 , 0.364872 )
691 ( 0.0071519 , 0.767779 )
692 ( 0.184041 , 0.23125 )
693 ( 0.0638878 , 0.618786 )
694 ( 0.82042 , 0.741674 )
695 ( 0.446631 , 0.648623 )
696 ( 0.8102 , 0.074706 )
697 ( 0.313341 , 0.0115751 )
698 ( 0.254923 , 0.758717 )
699 ( 0.645486 , 0.896411 )
700 ( 0.766942 , 0.880976 )
701 ( 0.495548 , 0.662761 )
702 ( 0.92617 , 0.606537 )
703 ( 0.0216615 , 0.728519 )
704 ( 0.60859 , 0.340148 )
705 ( 0.843337 , 0.0509942 )
706 ( 0.822523 , 0.439359 )
707 ( 0.925264 , 0.902707 )
708 ( 0.430893 , 0.809759 )
709 ( 0.131405 , 0.825549 )
710 ( 0.641367 , 0.101594 )
711 ( 0.834118 , 0.331502 )
712 ( 0.965634 , 0.584876 )
713 ( 0.516854 , 0.862704 )
714 ( 0.670411 , 0.461029 )
715 ( 0.11632 , 0.297457 )
716 ( 0.517041 , 0.215279 )
717 ( 0.466046 , 0.297005 )
718 ( 0.676342 , 0.293818 )
719 ( 0.693892 , 0.232465 )
720 ( 0.168046 , 0.923473 )
721 ( 0.882661 , 0.251499 )
722 ( 0.208899 , 0.551853 )
723 ( 0.975404 , 0.243837 )
724 ( 0.751026 , 0.954021 )
725 ( 0.60243 , 0.742873 )
726 ( 0.0647835 , 0.172211 )
727 ( 0.830015 , 0.3057 )
